threshold,net_benefit_model,net_benefit_all,net_benefit_none
0.05,0.2236246725410812,0.2236246725410812,0.0
0.1,0.18149824032176975,0.1804927099044746,0.0
0.15,0.14825658770295447,0.13228639872238487,0.0
0.2,0.11764705882352941,0.07805429864253394,0.0
0.25,0.08144796380090497,0.01659125188536953,0.0
0.3,0.036199095022624445,-0.05365223012281839,0.0
0.35,-0.006613296206056385,-0.13470240167072745,0.0
0.39999999999999997,0.004524886877828094,-0.229260935143288,0.0
0.44999999999999996,0.0004113533525298696,-0.3410119292472233,0.0
0.49999999999999994,0.013574660633484198,-0.4751131221719456,0.0
0.5499999999999999,0.00904977375565616,-0.6390145801910505,0.0
0.6,-0.004524886877828038,-0.843891402714932,0.0
0.65,-0.005171299288946357,-1.107304460245637,0.0
0.7,-0.028657616892910992,-1.458521870286576,0.0
0.75,0.009049773755656104,-1.9502262443438916,0.0
